"1.264","16"
"1.265","15"
"1.266","19"
"1.267","4"
"1.268","27"
"1.270","48"
"1.272","5"
"1.273","10"
"1.274","36"
"1.274 (private)","1"
"1.275","13"
"1.276","36"
"1.276 (private)","1"
"1.277","44"
"1.278","56"
"1.278 (private)","1"
"1.279","28"
"1.280","54"
"1.281","11"
"1.282","80"
"1.282 (private)","1"
"1.283","23"
"1.284","31"
"1.285","87"
"1.286","33"
"1.287","25"
"1.287 (private)","2"
"1.288","46"
"1.289","13"
"1.290","84"
"1.291","67"
"1.291 (private)","1"
"1.292","126"
"1.292 (private)","1"
"1.292.16","1"
"1.292.17","1"
"1.293","131"
"1.293 (private)","1"
"1.294","26"
"1.295","94"
"1.295 (private)","1"
"1.296","41"
"1.297","77"
"1.299","111"
"1.299 (private)","3"
"1.300","190"
"1.300 (private)","5"
"1.301","111"
"1.302","5"
"1.303","197"
"1.303 (private)","6"
"1.304","198"
"1.305","5"
"1.306","198"
"1.306 (private)","1"
"1.307","191"
"1.308","61"
"1.309","459"
"1.309 (private)","3"
"1.309-CGU (private)","2"
"1.310","252"
"1.311","118"
"1.312","241"
"1.313","240"
"1.313 (private)","1"
"1.314","319"
"1.315","284"
"1.315 (private)","9"
"1.316","474"
"1.316 (private)","1"
"1.317","361"
"1.318","519"
"1.318 (private)","4"
"1.319","335"
"1.320","538"
"1.320 (private)","3"
"1.321","593"
"1.322","1116"
"1.322 (private)","6"
"1.323","2374"
"1.323 (private)","3"
"1.323-1 (private)","4"
"1.324","1510"
"1.324 (private)","4"
"1.325","136"
"1.326","134"
"?","1"
