"464","AIX (ppc)"
"765","AIX (ppc64)"
"2","Darwin (i386)"
"1","DragonFly (i386)"
"1","DragonFlyBSD (amd64)"
"424","FreeBSD (amd64)"
"231","FreeBSD (i386)"
"263","HP-UX (IA64N)"
"42","HP-UX (IA64W)"
"75","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"4","HP-UX (ia64)"
"1","Haiku (i386)"
"7","Linux (aarch64)"
"134419","Linux (amd64)"
"264","Linux (arm)"
"16129","Linux (i386)"
"22","Linux (ia64)"
"1","Linux (mipsel)"
"42","Linux (ppc)"
"145","Linux (ppc64)"
"10","Linux (ppc64le)"
"8","Linux (s390)"
"101","Linux (s390x)"
"213","Linux (x86)"
"2","Linux (x86_64)"
"4","Mac OS X (amd64)"
"23","Mac OS X (i386)"
"1","Mac OS X (ppc)"
"12743","Mac OS X (x86_64)"
"74414","N/A"
"3","NetBSD (amd64)"
"6","NetBSD (i386)"
"5","OS/400 (PowerPC)"
"1","OS/400 (ppc)"
"15","OpenBSD (amd64)"
"4","OpenBSD (i386)"
"140","SunOS (amd64)"
"1672","SunOS (sparc)"
"157","SunOS (sparcv9)"
"1411","SunOS (x86)"
"1","Unknown (x86_64)"
"7","Windows (amd64)"
"1","Windows (x86)"
"14","Windows 2000 (x86)"
"585","Windows 2003 (amd64)"
"4049","Windows 2003 (x86)"
"13166","Windows 7 (amd64)"
"20002","Windows 7 (x86)"
"841","Windows 8 (amd64)"
"2005","Windows 8 (x86)"
"829","Windows 8.1 (amd64)"
"557","Windows 8.1 (x86)"
"354","Windows NT (unknown) (amd64)"
"326","Windows NT (unknown) (x86)"
"13","Windows Server 2003 (amd64)"
"48","Windows Server 2003 (x86)"
"800","Windows Server 2008 (amd64)"
"1","Windows Server 2008 (ia64)"
"1601","Windows Server 2008 (x86)"
"12803","Windows Server 2008 R2 (amd64)"
"1","Windows Server 2008 R2 (ia64)"
"10084","Windows Server 2008 R2 (x86)"
"2119","Windows Server 2012 (amd64)"
"3180","Windows Server 2012 (x86)"
"1915","Windows Server 2012 R2 (amd64)"
"558","Windows Server 2012 R2 (x86)"
"1","Windows Server 8 (amd64)"
"101","Windows Vista (amd64)"
"583","Windows Vista (x86)"
"78","Windows XP (amd64)"
"3140","Windows XP (x86)"
"3","z/OS (s390)"
"1","z/OS (s390x)"
