"568","AIX (ppc)"
"820","AIX (ppc64)"
"1","Darwin (i386)"
"1","Darwin (ppc)"
"1","DragonFly (i386)"
"1","DragonFlyBSD (amd64)"
"461","FreeBSD (amd64)"
"322","FreeBSD (i386)"
"272","HP-UX (IA64N)"
"44","HP-UX (IA64W)"
"82","HP-UX (PA_RISC2.0)"
"2","HP-UX (PA_RISC2.0W)"
"3","HP-UX (ia64)"
"1","Haiku (i386)"
"15","Linux (aarch64)"
"145922","Linux (amd64)"
"316","Linux (arm)"
"16312","Linux (i386)"
"22","Linux (ia64)"
"1","Linux (mips)"
"37","Linux (ppc)"
"154","Linux (ppc64)"
"17","Linux (ppc64le)"
"10","Linux (s390)"
"110","Linux (s390x)"
"1","Linux (sparc)"
"200","Linux (x86)"
"3","Mac OS X (amd64)"
"21","Mac OS X (i386)"
"2","Mac OS X (ppc)"
"13737","Mac OS X (x86_64)"
"77249","N/A"
"2","NONSTOP_KERNEL (IA64N)"
"4","NetBSD (amd64)"
"17","NetBSD (i386)"
"6","OS/400 (PowerPC)"
"1","OS/400 (ppc)"
"13","OpenBSD (amd64)"
"5","OpenBSD (i386)"
"169","SunOS (amd64)"
"1676","SunOS (sparc)"
"172","SunOS (sparcv9)"
"1367","SunOS (x86)"
"1","UnixWare (IA32)"
"1","Unknown (x86_64)"
"18","Windows (amd64)"
"13","Windows 2000 (x86)"
"548","Windows 2003 (amd64)"
"3917","Windows 2003 (x86)"
"14338","Windows 7 (amd64)"
"21412","Windows 7 (x86)"
"815","Windows 8 (amd64)"
"1768","Windows 8 (x86)"
"922","Windows 8.1 (amd64)"
"1181","Windows 8.1 (x86)"
"348","Windows NT (unknown) (amd64)"
"317","Windows NT (unknown) (x86)"
"9","Windows Server 2003 (amd64)"
"35","Windows Server 2003 (x86)"
"805","Windows Server 2008 (amd64)"
"1610","Windows Server 2008 (x86)"
"12875","Windows Server 2008 R2 (amd64)"
"10657","Windows Server 2008 R2 (x86)"
"2710","Windows Server 2012 (amd64)"
"3257","Windows Server 2012 (x86)"
"2510","Windows Server 2012 R2 (amd64)"
"1192","Windows Server 2012 R2 (x86)"
"57","Windows Vista (amd64)"
"583","Windows Vista (x86)"
"70","Windows XP (amd64)"
"3157","Windows XP (x86)"
"3","z/OS (s390)"
"7","z/OS (s390x)"
