"svnpublisher","1"
"systemloadaverage-monitor","1"
"harvest","2"
"selenium","2"
"kundo","3"
"SCTMExecutor","4"
"fitnesse","5"
"greenballs","6"
"sfee","6"
"bitkeeper","13"
"pvcs_scm","15"
"synergy","16"
"javanet-uploader","18"
"crowd","19"
"grinder","25"
"starteam","29"
"nabaztag","31"
"javanet","32"
"template-project","35"
"gradle","42"
"mstest","45"
"sloccount","45"
"accurev","49"
"phing","51"
"tfs","55"
"googlecode","57"
"googleanalytics","58"
"schedule-failed-builds","59"
"parameterized-trigger","71"
"svncompat14","75"
"rubyMetrics","80"
"javatest-report","84"
"vss","91"
"zentimestamp","91"
"ivy","92"
"regexemail","92"
"seleniumhq","92"
"gant","95"
"webtestpresenter","99"
"port-allocator","104"
"naginator","106"
"grails","110"
"japex","116"
"testabilityexplorer","120"
"redmine","121"
"twitter","121"
"svncompat13","128"
"ircbot","133"
"rake","135"
"selenium-aes","140"
"doxygen","141"
"hudsontrayapp","141"
"ruby","143"
"release","150"
"vmware","152"
"viewVC","154"
"URLSCM","155"
"gcal","161"
"javancss","162"
"sidebar-link","163"
"cvs-tag","164"
"url-change-trigger","165"
"xvnc","168"
"mantis","180"
"claim","183"
"mercurial","188"
"ldapemail","192"
"groovy","195"
"nant","198"
"polarion","202"
"ftppublisher","219"
"git","228"
"locale","240"
"build-publisher","241"
"perforce","254"
"clover","255"
"description-setter","258"
"clearcase","259"
"ssh-slaves","268"
"audit-trail","269"
"crap4j","283"
"bugzilla","286"
"dry","298"
"nunit","301"
"plot","320"
"dependencyanalyzer","322"
"text-finder","363"
"locks-and-latches","367"
"promoted-builds","375"
"jabber","423"
"msbuild","433"
"sonar","457"
"scp","589"
"trac","589"
"active-directory","599"
"svn-tag","673"
"emma","686"
"jira","707"
"ci-game","719"
"deploy","722"
"build-timeout","746"
"batch-task","842"
"violations","904"
"emotional-hudson","1039"
"cobertura","1160"
"tasks","1172"
"disk-usage","1229"
"pmd","1273"
"email-ext","1305"
"warnings","1363"
"checkstyle","1510"
"findbugs","1755"
