"402","AIX (ppc)"
"1582","AIX (ppc64)"
"1","CloudByte (amd64)"
"1","Darwin (ppc)"
"1","FreeBSD (aarch64)"
"617","FreeBSD (amd64)"
"268","FreeBSD (i386)"
"348","HP-UX (IA64N)"
"39","HP-UX (IA64W)"
"84","HP-UX (PA_RISC2.0)"
"2","HP-UX (PA_RISC2.0W)"
"9","HP-UX (ia64)"
"152","Linux (aarch64)"
"256850","Linux (amd64)"
"749","Linux (arm)"
"10737","Linux (i386)"
"13","Linux (ia64)"
"2","Linux (mips)"
"1","Linux (mips64)"
"8","Linux (mips64el)"
"2","Linux (mipsel)"
"23","Linux (ppc)"
"207","Linux (ppc64)"
"336","Linux (ppc64le)"
"9","Linux (s390)"
"253","Linux (s390x)"
"7","Linux (sparcv9)"
"1","Linux (sw)"
"130","Linux (x86)"
"2","Linux (zArch_64)"
"2","Mac OS X (i386)"
"1","Mac OS X (ppc)"
"19992","Mac OS X (x86_64)"
"149212","N/A"
"5","NONSTOP_KERNEL (IA64N)"
"7","NONSTOP_KERNEL (x86_64N)"
"3","NetBSD (amd64)"
"3","NetBSD (i386)"
"2","OS/400 (PowerPC)"
"15","OS/400 (ppc)"
"4","OS/400 (ppc64)"
"17","OpenBSD (amd64)"
"4","OpenBSD (i386)"
"587","SunOS (amd64)"
"1146","SunOS (sparc)"
"773","SunOS (sparcv9)"
"1092","SunOS (x86)"
"16","Windows (amd64)"
"1","Windows (x86)"
"4475","Windows 10 (amd64)"
"4740","Windows 10 (x86)"
"1","Windows 10 Pro (amd64)"
"8","Windows 2000 (x86)"
"304","Windows 2003 (amd64)"
"1673","Windows 2003 (x86)"
"21015","Windows 7 (amd64)"
"23900","Windows 7 (x86)"
"901","Windows 8 (amd64)"
"616","Windows 8 (x86)"
"2445","Windows 8.1 (amd64)"
"2059","Windows 8.1 (x86)"
"919","Windows NT (unknown) (amd64)"
"806","Windows NT (unknown) (x86)"
"1","Windows NT (x86)"
"8","Windows Server 2003 (amd64)"
"10","Windows Server 2003 (x86)"
"571","Windows Server 2008 (amd64)"
"1153","Windows Server 2008 (x86)"
"15991","Windows Server 2008 R2 (amd64)"
"9740","Windows Server 2008 R2 (x86)"
"4208","Windows Server 2012 (amd64)"
"2292","Windows Server 2012 (x86)"
"13747","Windows Server 2012 R2 (amd64)"
"8924","Windows Server 2012 R2 (x86)"
"94","Windows Server 2016 (amd64)"
"40","Windows Server 2016 (x86)"
"1","Windows Server 2016 Standard (amd64)"
"2","Windows Server 8 (amd64)"
"15","Windows Vista (amd64)"
"217","Windows Vista (x86)"
"19","Windows XP (amd64)"
"1324","Windows XP (x86)"
"5","z/OS (s390)"
"42","z/OS (s390x)"
