"mercurial","507"
"promoted-builds","509"
"description-setter","532"
"dashboard-view","542"
"statusmonitor","554"
"bugzilla","562"
"parameterized-trigger","563"
"clover","586"
"jabber","602"
"sidebar-link","605"
"changelog-history","609"
"perforce","610"
"dependencyanalyzer","630"
"plot","633"
"release","651"
"clearcase","670"
"locks-and-latches","676"
"m2-extra-steps","707"
"text-finder","732"
"nunit","741"
"dry","881"
"backup","881"
"svn-release-mgr","891"
"audit-trail","910"
"git","932"
"chucknorris","953"
"m2release","1002"
"trac","1036"
"msbuild","1055"
"scp","1133"
"ci-game","1358"
"active-directory","1418"
"jira","1439"
"svn-tag","1443"
"emma","1457"
"deploy","1484"
"build-timeout","1494"
"batch-task","1524"
"sonar","1534"
"violations","1843"
"emotional-hudson","1855"
"greenballs","2010"
"tasks","2073"
"disk-usage","2114"
"warnings","2424"
"pmd","2467"
"cobertura","2669"
"checkstyle","2887"
"email-ext","3104"
"findbugs","3198"
"scis-ad","10653"
"subversion","12467"
"ssh-slaves","13403"
"maven-plugin","13654"
