"svnpublisher","1"
"chucknorris","1"
"configurationslicing","1"
"jsunit","1"
"versionnumber","1"
"hudson-pview-plugin","4"
"fitnesse","4"
"sfee","5"
"Schmant","5"
"setenv","5"
"cmvc","8"
"SCTMExecutor","9"
"kundo","10"
"kagemai","10"
"gnat","11"
"tuxdroid","12"
"jython","12"
"distfork","14"
"windmill","16"
"drools","17"
"bitkeeper","18"
"hadoop","18"
"cygpath","20"
"harvest","20"
"translation","26"
"buckminster","28"
"pvcs_scm","32"
"backlog","33"
"javanet-uploader","34"
"crowd","36"
"synergy","39"
"pxe","39"
"scons","43"
"gallio","44"
"bazaar","45"
"ncover","47"
"javanet","49"
"nabaztag","51"
"collabnet","52"
"hgca","56"
"cmakebuilder","58"
"powershell","59"
"gradle","60"
"jdepend","62"
"python","64"
"swarm","65"
"promoted-builds-simple","66"
"github","67"
"cppcheck","68"
"ec2","69"
"hudson-logaction-plugin","72"
"doclinks","75"
"starteam","77"
"copyarchiver","81"
"tfs","81"
"easyant","81"
"googlecode","82"
"hudson-wsclean-plugin","83"
"accurev","88"
"grinder","88"
"googleanalytics","94"
"schedule-failed-builds","97"
"svncompat14","106"
"phing","109"
"javatest-report","121"
"zentimestamp","129"
"selenium","140"
"cccc","142"
"rubyMetrics","146"
"regexemail","146"
"webtestpresenter","150"
"vss","150"
"naginator","159"
"port-allocator","166"
"japex","166"
"gant","168"
"svncompat13","170"
"cppunit","178"
"join","195"
"hudsontrayapp","197"
"slave-status","203"
"testabilityexplorer","204"
"ircbot","207"
"mstest","211"
"viewVC","216"
"selenium-aes","217"
"gcal","219"
"vmware","221"
"grails","226"
"template-project","230"
"ivy","232"
"sectioned-view","247"
"rake","262"
"ruby","271"
"URLSCM","271"
"cvs-tag","272"
"seleniumhq","276"
"xvnc","279"
"redmine","279"
"polarion","282"
"twitter","286"
"url-change-trigger","314"
"sloccount","317"
"claim","324"
"mantis","328"
"build-publisher","328"
"radiatorviewplugin","329"
"doxygen","337"
"locale","347"
"groovy","347"
"mercurial","350"
"parameterized-trigger","351"
"javancss","360"
"ftppublisher","388"
"ldapemail","394"
"changelog-history","406"
"nant","408"
"crap4j","416"
"clover","422"
"m2-extra-steps","426"
"statusmonitor","431"
"description-setter","431"
"sidebar-link","432"
"perforce","469"
"bugzilla","474"
"backup","477"
"dependencyanalyzer","502"
"plot","512"
"promoted-builds","514"
"clearcase","519"
"locks-and-latches","558"
"git","591"
"jabber","591"
"nunit","600"
"text-finder","619"
"dry","645"
"release","657"
"svn-release-mgr","673"
"audit-trail","684"
"m2release","696"
"msbuild","779"
"trac","895"
"scp","1015"
"sonar","1089"
"active-directory","1094"
"ci-game","1141"
"emma","1190"
"build-timeout","1201"
"deploy","1216"
"jira","1221"
"batch-task","1262"
"svn-tag","1272"
"greenballs","1373"
"violations","1424"
"disk-usage","1650"
"emotional-hudson","1708"
"tasks","1854"
"pmd","2059"
"warnings","2077"
"cobertura","2119"
"checkstyle","2388"
"email-ext","2425"
"findbugs","2773"
"subversion","6240"
"ssh-slaves","9023"
"maven-plugin","9730"
