"1.264","52"
"1.265","61"
"1.265 (private)","1"
"1.266","71"
"1.267","21"
"1.268","125"
"1.270","140"
"1.271","2"
"1.272","20"
"1.273","57"
"1.274","142"
"1.274 (private)","2"
"1.275","43"
"1.276","129"
"1.276 (private)","1"
"1.277","161"
"1.278","191"
"1.278 (private)","2"
"1.279","181"
"1.280","257"
"1.281","67"
"1.282","421"
"1.282 (private)","5"
"1.283","138"
"1.284","182"
"1.285","590"
"1.285 (private)","5"
"1.286","157"
"1.287","352"
"1.287 (private)","3"
"1.288","331"
"1.289","193"
"1.290","649"
"1.290 (private)","4"
"1.291","641"
"1.291 (private)","1"
"1.292","1211"
"1.292 (private)","4"
"1.293","1248"
"1.294","315"
"1.294 (private)","1"
"1.295","33"
"?","2"
"development","5"
